tourney_id,date_id,tourney_name,surface,draw_size,tourney_level,tourney_spectators,tourney_revenue
2017-1059,20171113
2017-1072,20171106
2017-1083,20170904
2017-1084,20171106
2017-1095,20171120
2017-1100,20171120
2017-W-WITF-ARG-01A-2017,20170522
2017-W-WITF-ARG-02A-2017,20170529
2017-W-WITF-ARG-03A-2017,20170911
2017-W-WITF-ARG-04A-2017,20171002
2017-W-WITF-ARG-05A-2017,20171009
2017-W-WITF-AUS-01A-2017,20170213
2017-W-WITF-AUS-01C-2017,20170130
2017-W-WITF-AUS-02A-2017,20170220
2017-W-WITF-AUS-02B-2017,20170206
2017-W-WITF-AUS-03A-2017,20170227
2017-W-WITF-AUS-04A-2017,20170306
2017-W-WITF-AUS-05A-2017,20170320
2017-W-WITF-AUS-06A-2017,20170327
2017-W-WITF-AUS-07A-2017,20171030
2017-W-WITF-AUS-08A-2017,20171106
2017-W-WITF-AUS-09A-2017,20170918
2017-W-WITF-AUS-10A-2017,20170925
2017-W-WITF-AUS-11A-2017,20171002
2017-W-WITF-AUS-12A-2017,20171009
2017-W-WITF-AUT-01A-2017,20170807
2017-W-WITF-AUT-02A-2017,20170814
2017-W-WITF-BEL-01A-2017,20170717
2017-W-WITF-BEL-02A-2017,20170710
2017-W-WITF-BEL-03A-2017,20170626
2017-W-WITF-BEL-04A-2017,20170807
2017-W-WITF-BEL-05A-2017,20170821
2017-W-WITF-BEL-06A-2017,20170828
2017-W-WITF-BIH-01A-2017,20170605
2017-W-WITF-BLR-01A-2017,20170605
2017-W-WITF-BLR-02A-2017,20170612
2017-W-WITF-BLR-03A-2017,20171120
2017-W-WITF-BRA-01A-2017,20170227
2017-W-WITF-BRA-02A-2017,20170306
2017-W-WITF-BRA-03A-2017,20170327
2017-W-WITF-BRA-03B-2017,20170403
2017-W-WITF-BRA-07A-2017,20170724
2017-W-WITF-BRA-08A-2017,20170710
2017-W-WITF-BRA-09B-2017,20171127
2017-W-WITF-BUL-01A-2017,20170904
2017-W-WITF-BUL-03A-2017,20170918
2017-W-WITF-BUL-04A-2017,20171002
2017-W-WITF-CAN-01A-2017,20170814
2017-W-WITF-CAN-02A-2017,20170619
2017-W-WITF-CAN-03A-2017,20170710
2017-W-WITF-CAN-04A-2017,20171030
2017-W-WITF-CAN-05A-2017,20170717
2017-W-WITF-CAN-06A-2017,20170724
2017-W-WITF-CAN-07A-2017,20171023
2017-W-WITF-CHI-01A-2017,20171127
2017-W-WITF-CHI-02A-2017,20171204
2017-W-WITF-CHN-01A-2017,20170213
2017-W-WITF-CHN-02A-2017,20170220
2017-W-WITF-CHN-03A-2017,20170227
2017-W-WITF-CHN-03B-2017,20170313
2017-W-WITF-CHN-03C-2017,20170306
2017-W-WITF-CHN-04B-2017,20170327
2017-W-WITF-CHN-05A-2017,20170424
2017-W-WITF-CHN-06A-2017,20170410
2017-W-WITF-CHN-07A-2017,20170508
2017-W-WITF-CHN-08A-2017,20170515
2017-W-WITF-CHN-09A-2017,20170529
2017-W-WITF-CHN-10A-2017,20170522
2017-W-WITF-CHN-11A-2017,20170619
2017-W-WITF-CHN-12A-2017,20170626
2017-W-WITF-CHN-13A-2017,20170703
2017-W-WITF-CHN-14A-2017,20170717
2017-W-WITF-CHN-15A-2017,20170710
2017-W-WITF-CHN-16A-2017,20171016
2017-W-WITF-CHN-17A-2017,20171023
2017-W-WITF-CHN-18B-2017,20171106
2017-W-WITF-CHN-19A-2017,20170911
2017-W-WITF-COL-01A-2017,20171030
2017-W-WITF-COL-02A-2017,20171106
2017-W-WITF-CRO-01A-2017,20170403
2017-W-WITF-CZE-01A-2017,20170605
2017-W-WITF-CZE-02A-2017,20170612
2017-W-WITF-CZE-03A-2017,20170717
2017-W-WITF-CZE-04A-2017,20170724
2017-W-WITF-CZE-05A-2017,20170828
2017-W-WITF-CZE-07A-2017,20170911
2017-W-WITF-CZE-08A-2017,20170925
2017-W-WITF-CZE-09A-2017,20171127
2017-W-WITF-CZE-10A-2017,20171204
2017-W-WITF-ECU-01A-2017,20171127
2017-W-WITF-ECU-02A-2017,20171204
2017-W-WITF-EGY-01A-2017,20170116
2017-W-WITF-EGY-02A-2017,20170123
2017-W-WITF-EGY-03A-2017,20170130
2017-W-WITF-EGY-04A-2017,20170206
2017-W-WITF-EGY-05A-2017,20170213
2017-W-WITF-EGY-06A-2017,20170220
2017-W-WITF-EGY-07A-2017,20170227
2017-W-WITF-EGY-08A-2017,20170306
2017-W-WITF-EGY-09A-2017,20170313
2017-W-WITF-EGY-10A-2017,20170320
2017-W-WITF-EGY-11A-2017,20170327
2017-W-WITF-EGY-12A-2017,20170403
2017-W-WITF-EGY-13A-2017,20170410
2017-W-WITF-EGY-14A-2017,20170417
2017-W-WITF-EGY-16A-2017,20170501
2017-W-WITF-EGY-18A-2017,20170626
2017-W-WITF-EGY-19A-2017,20170703
2017-W-WITF-EGY-20A-2017,20170710
2017-W-WITF-EGY-21A-2017,20170717
2017-W-WITF-EGY-22A-2017,20170724
2017-W-WITF-EGY-23A-2017,20170731
2017-W-WITF-EGY-24A-2017,20170904
2017-W-WITF-EGY-25A-2017,20170911
2017-W-WITF-EGY-26A-2017,20170918
2017-W-WITF-EGY-27A-2017,20170925
2017-W-WITF-EGY-28A-2017,20171002
2017-W-WITF-EGY-29A-2017,20171009
2017-W-WITF-EGY-30A-2017,20171016
2017-W-WITF-EGY-31A-2017,20171023
2017-W-WITF-EGY-32A-2017,20171030
2017-W-WITF-EGY-33A-2017,20171106
2017-W-WITF-EGY-34A-2017,20171113
2017-W-WITF-EGY-35A-2017,20171120
2017-W-WITF-EGY-36A-2017,20171127
2017-W-WITF-EGY-37A-2017,20171204
2017-W-WITF-ESP-01A-2017,20170206
2017-W-WITF-ESP-02A-2017,20170213
2017-W-WITF-ESP-03A-2017,20170220
2017-W-WITF-ESP-04A-2017,20170227
2017-W-WITF-ESP-05A-2017,20170501
2017-W-WITF-ESP-06A-2017,20170508
2017-W-WITF-ESP-07A-2017,20170515
2017-W-WITF-ESP-08A-2017,20170605
2017-W-WITF-ESP-09A-2017,20170612
2017-W-WITF-ESP-10A-2017,20170703
2017-W-WITF-ESP-11A-2017,20170717
2017-W-WITF-ESP-12A-2017,20170807
2017-W-WITF-ESP-13A-2017,20170814
2017-W-WITF-ESP-14A-2017,20170731
2017-W-WITF-ESP-15A-2017,20170918
2017-W-WITF-ESP-16A-2017,20170925
2017-W-WITF-ESP-17A-2017,20171002
2017-W-WITF-ESP-18A-2017,20171009
2017-W-WITF-ESP-18B-2017,20171016
2017-W-WITF-ESP-19A-2017,20171030
2017-W-WITF-ESP-20A-2017,20171106
2017-W-WITF-ESP-21A-2017,20171113
2017-W-WITF-ESP-22A-2017,20171127
2017-W-WITF-ESP-23A-2017,20171204
2017-W-WITF-ESP-24A-2017,20171120
2017-W-WITF-EST-01A-2017,20170724
2017-W-WITF-FIN-01A-2017,20170724
2017-W-WITF-FIN-02A-2017,20170731
2017-W-WITF-FIN-03A-2017,20171113
2017-W-WITF-FRA-01A-2017,20170109
2017-W-WITF-FRA-02A-2017,20170116
2017-W-WITF-FRA-03A-2017,20170123
2017-W-WITF-FRA-04A-2017,20170130
2017-W-WITF-FRA-04B-2017,20170227
2017-W-WITF-FRA-05A-2017,20170123
2017-W-WITF-FRA-06A-2017,20170313
2017-W-WITF-FRA-07A-2017,20170320
2017-W-WITF-FRA-08A-2017,20170327
2017-W-WITF-FRA-09A-2017,20170306
2017-W-WITF-FRA-10A-2017,20170403
2017-W-WITF-FRA-11A-2017,20170508
2017-W-WITF-FRA-12A-2017,20170515
2017-W-WITF-FRA-13A-2017,20170605
2017-W-WITF-FRA-14A-2017,20170619
2017-W-WITF-FRA-15A-2017,20170626
2017-W-WITF-FRA-16A-2017,20170710
2017-W-WITF-FRA-17A-2017,20170911
2017-W-WITF-FRA-18A-2017,20170918
2017-W-WITF-FRA-19A-2017,20170703
2017-W-WITF-FRA-20A-2017,20170724
2017-W-WITF-FRA-21A-2017,20171023
2017-W-WITF-FRA-22A-2017,20171030
2017-W-WITF-FRA-23A-2017,20170925
2017-W-WITF-FRA-24A-2017,20171009
2017-W-WITF-FRA-25A-2017,20171016
2017-W-WITF-GBR-01A-2017,20170130
2017-W-WITF-GBR-06A-2017,20170206
2017-W-WITF-GBR-07A-2017,20170213
2017-W-WITF-GBR-08A-2017,20170605
2017-W-WITF-GBR-09A-2017,20170612
2017-W-WITF-GBR-10A-2017,20170619
2017-W-WITF-GBR-11A-2017,20170626
2017-W-WITF-GBR-12A-2017,20170731
2017-W-WITF-GBR-13A-2017,20170807
2017-W-WITF-GBR-14A-2017,20171023
2017-W-WITF-GBR-15A-2017,20171030
2017-W-WITF-GBR-16A-2017,20171106
2017-W-WITF-GEO-01A-2017,20170710
2017-W-WITF-GEO-03A-2017,20170911
2017-W-WITF-GER-01A-2017,20170116
2017-W-WITF-GER-02A-2017,20170213
2017-W-WITF-GER-03A-2017,20170501
2017-W-WITF-GER-04A-2017,20170605
2017-W-WITF-GER-05A-2017,20170626
2017-W-WITF-GER-06A-2017,20170619
2017-W-WITF-GER-07A-2017,20170807
2017-W-WITF-GER-08A-2017,20170710
2017-W-WITF-GER-09A-2017,20170703
2017-W-WITF-GER-10A-2017,20170717
2017-W-WITF-GER-11A-2017,20170724
2017-W-WITF-GER-12A-2017,20170731
